serial_no,action,price,positions
2547,stay,15224.246164548824,-1
2548,buy,15039.905153506552,0
2549,short,14861.999032376396,-1
2550,stay,15043.45135216686,-1
2551,stay,15079.212990537968,-1
2552,buy,15117.285821690411,0
2553,short,15214.790535291831,-1
2554,buy,14908.02226103146,0
2557,stay,14549.563494374435,0
2559,short,14673.984306720822,-1
2560,buy,14432.62772735208,0
2561,short,14464.46262184136,-1
2562,buy,14526.131445327635,0
2563,short,14347.35936203785,-1
2564,buy,14455.917091385974,0
2565,short,14451.156461245757,-1
2566,stay,14423.021006556752,-1
2567,stay,14005.926133095583,-1
2568,stay,13868.996796636286,-1
2569,stay,13801.461564225649,-1
2570,stay,13973.329810938954,-1
2571,buy,13937.367745431122,0
2572,stay,13966.550696520122,0
2573,short,14020.237229536791,-1
2574,stay,13936.153827535629,-1
2575,stay,13915.519669657924,-1
2576,buy,13979.717067874572,0
2578,short,13705.922557823304,-1
2579,stay,13817.076369601671,-1
2580,stay,13787.333723268735,-1
2581,buy,13558.119168426749,0
2582,short,13533.674791673426,-1
2583,stay,13675.890743471478,-1
2584,buy,13259.528642851952,0
2585,stay,13283.35779916681,0
2586,short,13258.848082187656,-1
2587,stay,13207.28765845748,-1
2588,stay,13146.75290179297,-1
2589,buy,13097.337384804658,0
2590,short,13132.92221104391,-1
2591,stay,13218.326679334812,-1
2592,buy,13178.70865285401,0
2593,short,13180.230498828834,-1
2594,buy,13324.69435637332,0
2595,short,13261.368728858886,-1
2596,buy,13343.030963370078,0
2599,short,13116.825637402351,-1
2600,stay,13081.298716703806,-1
2601,stay,13106.247895731673,-1
2602,stay,13125.443344669027,-1
2603,buy,12838.536913278367,0
2604,buy,12840.09166976572,1
2605,sell,12705.14444599802,0
2607,buy,12667.455444407638,1
2608,sell,12718.43576673227,0
2609,short,12560.297266020738,-1
2610,stay,12312.434970707522,-1
2611,buy,12262.91523612202,0
2612,short,12326.273084743832,-1
2613,buy,12073.372026262829,0
2614,stay,11968.542443900154,0
2615,stay,11966.914110922782,0
2616,buy,11970.87177247745,1
2617,sell,11960.497126009615,0
2618,short,11922.573470360558,-1
2619,stay,12121.42305862421,-1
2620,buy,12054.105911442684,0
2621,short,11939.522596206112,-1
2622,stay,12096.741469398145,-1
2623,buy,12106.107904591763,0
2624,short,12005.651393297614,-1
2625,buy,11780.864541639856,0
2626,short,11787.264502591474,-1
2627,stay,11711.937031796697,-1
2628,stay,11669.869112051394,-1
2629,buy,11786.941970939411,0
2631,stay,12190.53843161106,0
2632,stay,12183.131211727014,0
2633,short,12090.747404142763,-1
2634,buy,12033.970067400443,0
2636,short,12113.262217211506,-1
2637,buy,12137.777308105464,0
2638,stay,12289.79590985406,0
2639,short,12132.89334141679,-1
2640,stay,11875.183318129875,-1
2641,stay,11996.395593771827,-1
2642,buy,11850.796846919717,0
2644,short,11677.186456501464,-1
2645,stay,11825.562187319883,-1
2646,stay,11860.944240321838,-1
2647,stay,11961.254460419674,-1
2648,buy,11920.689372988229,0
2649,short,11857.782767961178,-1
2650,stay,11528.977208173976,-1
2651,stay,11530.331370422797,-1
2652,buy,11437.426907104858,0
2653,buy,11262.552974838864,1
2654,sell,11421.569368999038,0
2655,short,11348.99236119551,-1
2656,buy,11369.328127882629,0
2657,short,11315.42910542639,-1
2658,stay,11314.542379290446,-1
2659,stay,11345.879419437815,-1
2660,stay,11466.250218885029,-1
2661,stay,11521.453947962566,-1
2662,stay,11525.424643988244,-1
2663,buy,11791.38366663982,0
2664,buy,11910.894465263536,1
2665,sell,11895.264629387955,0
2666,short,11830.645326131891,-1
2667,buy,11802.325468788416,0
2668,buy,11628.574699649203,1
2669,sell,11640.61193753946,0
2670,stay,11812.18986645821,0
2672,short,11541.940169745492,-1
2673,stay,11454.517004367275,-1
2674,stay,11277.05646685882,-1
2675,buy,11391.638322806171,0
2676,short,11235.127233828243,-1
2677,buy,11180.849377221815,0
2678,short,11284.987430021294,-1
2679,buy,11130.237883149935,0
2680,stay,11174.673645714243,0
2683,short,11449.2387651991,-1
2684,stay,11654.21583558852,-1
2685,buy,11737.725386806636,0
2686,short,11657.50744204571,-1
2687,buy,11600.950358805858,0
2688,stay,11595.14644700404,0
2690,short,11511.845251649806,-1
2691,buy,11723.790180954204,0
2692,short,11543.334794402768,-1
2693,stay,11500.149119656351,-1
2694,buy,11529.057728993324,0
2695,short,11400.186335156386,-1
2696,stay,11380.989796428774,-1
2697,stay,11186.462448721895,-1
2698,stay,11311.423456954595,-1
2699,buy,11239.795910012035,0
2700,short,11280.019037714348,-1
2701,buy,11345.888897571993,0
2703,short,11230.93993485421,-1
2704,buy,11534.723388843042,0
2705,stay,11348.33796240838,0
2707,stay,11264.85632947303,0
2708,short,11159.164360117902,-1
2709,buy,10882.004992242408,0
2711,short,11034.32637622584,-1
2712,buy,11133.845610739134,0
2713,stay,11153.744473409588,0
2714,stay,11105.377426037225,0
2716,stay,10752.839992290414,0
2717,short,10593.944729510164,-1
2718,stay,10423.933489681554,-1
2719,stay,10454.64573552552,-1
2720,buy,10485.991154601894,0
2721,short,10393.979344447767,-1
2722,buy,10327.449456280565,0
2723,buy,10413.23805935565,1
2724,sell,10373.1969088423,0
2725,stay,10553.75614425356,0
2726,short,10644.686740421905,-1
2727,buy,10696.512601726054,0
2728,short,10552.165274098335,-1
2729,stay,10562.894104256333,-1
2730,buy,10675.843775516329,0
2731,short,10846.555548811037,-1
2732,buy,10911.536589612451,0
2733,short,11046.089886178055,-1
2734,buy,11082.086114988357,0
2735,short,11135.149152915275,-1
2736,buy,10966.894839537525,0
2737,buy,10686.720553275114,1
2738,sell,10786.13682544757,0
2740,short,10693.751142061868,-1
2741,buy,10669.07746929858,0
2742,stay,10624.551408301224,0
2743,short,10740.653479836172,-1
2744,buy,10840.961466108123,0
2745,buy,10885.31662684429,1
2746,stay,11031.437812123517,1
2747,sell,11172.817796933625,0
2748,short,11032.003509039794,-1
2749,buy,10939.49296986776,0
2751,stay,10846.14688585944,0
2752,short,10736.363749341348,-1
2753,stay,10605.029672846016,-1
2754,buy,10655.589969312348,0
2755,stay,10819.129705062129,0
2756,buy,10933.999087928238,1
2757,sell,10834.061667119566,0
2758,short,10795.57506345166,-1
2759,stay,10603.93041007,-1
2760,buy,10541.991530009493,0
2761,buy,10827.76689032048,1
2762,sell,10726.919543426466,0
2763,stay,10843.407389512517,0
2765,stay,11145.780871556612,0
2766,short,11091.196630817116,-1
2767,stay,10834.03415273619,-1
2768,stay,10786.067752643856,-1
2769,stay,10616.83963109682,-1
2770,stay,10463.66262785547,-1
2771,buy,10483.784893934144,0
2772,short,10468.72475442328,-1
2773,buy,10599.810011630549,0
2774,buy,10556.650446225438,1
2775,stay,10581.87930740061,1
2776,sell,10653.967132886271,0
2777,stay,10775.119961078632,0
2778,short,10884.783153225902,-1
2779,stay,10871.848223559966,-1
2780,buy,10874.290229698996,0
2781,stay,11156.034734076862,0
2782,buy,10987.550521232934,1
2783,sell,11133.816886155644,0
2784,stay,11302.839651137703,0
2786,short,11351.223736449569,-1
2787,buy,11237.824911718148,0
2788,stay,11054.222247089676,0
2790,short,11030.387597385965,-1
2791,buy,11121.892852709218,0
2792,short,10995.246459319687,-1
2793,stay,11136.63943488721,-1
2794,stay,11124.399152818944,-1
2795,stay,11142.513268604103,-1
2796,stay,10888.386622418566,-1
2797,buy,10873.312136933922,0
2798,stay,11015.588310301257,0
2799,short,11013.83169436102,-1
2800,buy,11128.596600418125,0
2801,short,11044.312072585408,-1
2802,stay,11021.298754782714,-1
2803,buy,10884.280121979857,0
2804,stay,11041.811521435931,0
2805,short,11139.219705009262,-1
2806,stay,11213.122208454291,-1
2807,stay,11047.797299772104,-1
2808,buy,10967.552972132296,0
2809,stay,10855.22380757798,0
2810,stay,10793.17489122421,0
2811,short,10838.848441498523,-1
2812,buy,10618.367697349227,0
2814,short,10733.207691929676,-1
2815,stay,10784.97960798008,-1
2816,stay,10742.11328309674,-1
2817,buy,10939.939877525108,0
2818,stay,10891.014636369708,0
2819,short,10891.951844975354,-1
2820,stay,10774.627805339953,-1
2821,buy,10736.464473818589,0
2822,buy,10714.525130110258,1
2823,sell,10705.753226858122,0
2824,buy,10714.5630327846,1
2825,stay,10602.33618850606,1
2826,sell,10644.379833171692,0
2827,short,10843.656326486078,-1
2828,buy,10888.638887340418,0
2829,stay,11164.875831456236,0
2830,short,10994.251880668064,-1
2831,stay,11023.992058045298,-1
2832,buy,11102.69775900968,0
2833,short,11192.965083640058,-1
2834,buy,11070.01176394708,0
2836,short,10862.45805573296,-1
2837,buy,11006.633415121836,0
2838,buy,10940.392997136783,1
2839,stay,10909.773833945925,1
2840,sell,10782.650052301,0
2841,short,10895.257392111933,-1
2842,buy,11033.011654450976,0
2843,short,10874.265537861904,-1
2844,stay,10787.412981746242,-1
2845,buy,10592.239016444584,0
2846,stay,10438.704320986564,0
2847,short,10433.667664186754,-1
2848,stay,10260.814359588545,-1
2849,stay,10372.080052242029,-1
2850,buy,10279.547388882038,0
2852,short,10368.46234945139,-1
2853,stay,10411.805106457788,-1
2854,buy,10419.05576327313,0
2855,short,10373.942600378352,-1
2856,buy,10391.013149220367,0
2857,short,10371.167344322845,-1
2858,buy,10413.231530779613,0
2859,short,10311.384516567225,-1
2860,buy,10188.540722816291,0
2861,short,10115.711433682647,-1
2862,buy,10099.544873792864,0
2863,buy,10152.178651349835,1
2864,sell,10127.478876353722,0
2865,short,10023.127154815456,-1
2866,stay,10506.005521656343,-1
2867,stay,10534.59120105204,-1
2868,buy,10659.054384782256,0
2869,short,10583.35607030457,-1
2870,stay,10718.37527789483,-1
2871,buy,10481.205436699158,0
2872,short,10558.274713827956,-1
2873,stay,10481.852062492891,-1
2874,buy,10458.83605975488,0
2875,short,10281.548689575997,-1
2876,buy,10176.955009867295,0
2877,short,10120.19536273952,-1
2878,stay,10205.994830264252,-1
2879,stay,10334.254895389337,-1
2880,stay,10358.251890507116,-1
2881,stay,10055.530442611993,-1
2882,stay,10116.353245953622,-1
2883,stay,10227.37422217366,-1
2884,buy,10295.020997824033,0
2885,stay,10173.639198391984,0
